EYCON_08,,01,02,03,04,05,06,07
DD/MM/YY,HH:MM:SS,"","","","","","",""
"LogTemps",,"T/C 1","T/C 2","T/C 3","T/C 4","T/C 5","T/C 6","Top_Pre2"
28/07/21,11:50:08,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:08,199,2192,2192,2192,2192,2192,62
28/07/21,11:50:09,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:09,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:09,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:10,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:10,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:10,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:10,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:11,199,2192,2192,2192,2192,2192,62
28/07/21,11:50:11,199,2192,2192,2192,2192,2192,62
28/07/21,11:50:11,199,2192,2192,2192,2192,2192,62
28/07/21,11:50:12,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:12,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:12,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:13,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:13,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:13,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:14,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:14,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:15,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:15,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:15,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:16,199,2192,2192,2192,2192,2192,62
28/07/21,11:50:16,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:17,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:17,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:17,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:18,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:18,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:18,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:19,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:19,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:19,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:20,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:20,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:20,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:21,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:21,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:21,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:22,199,2192,2192,2192,2192,2192,62
28/07/21,11:50:22,199,2192,2192,2192,2192,2192,62
28/07/21,11:50:22,199,2192,2192,2192,2192,2192,62
28/07/21,11:50:23,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:23,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:23,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:24,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:24,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:24,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:25,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:25,199,2192,2192,2192,2192,2192,61
28/07/21,11:50:25,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:26,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:26,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:26,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:27,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:27,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:27,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:28,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:28,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:28,200,2192,2192,2192,2192,2192,62
28/07/21,11:50:29,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:29,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:29,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:30,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:30,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:30,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:31,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:31,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:31,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:32,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:32,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:32,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:33,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:33,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:33,200,2192,2192,2192,2192,2192,62
28/07/21,11:50:34,200,2192,2192,2192,2192,2192,62
28/07/21,11:50:34,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:34,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:35,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:35,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:35,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:36,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:36,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:36,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:37,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:37,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:37,200,2192,2192,2192,2192,2192,61
28/07/21,11:50:38,200,2192,2192,2192,2192,2192,62
28/07/21,11:50:38,200,2192,2192,2192,2192,2192,62
